City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Date
200,Fare,PF,-16.7,-151.0167,79.18,75,18,3.44,light rain,2022-11-17 20:25:47
201,Arauco,CL,-37.2463,-73.3175,70.02,53,100,11.68,overcast clouds,2022-11-17 20:25:48
202,Pacific Grove,US,36.6177,-121.9166,66.34,60,0,10.36,clear sky,2022-11-17 20:25:48
203,Nawalgarh,IN,27.85,75.2667,58.5,38,0,0.74,clear sky,2022-11-17 20:25:48
204,Bambous Virieux,MU,-20.3428,57.7575,68.22,59,31,5.91,scattered clouds,2022-11-17 20:25:49
205,Semey,KZ,50.4111,80.2275,23.58,66,49,6.42,scattered clouds,2022-11-17 20:25:49
206,Bilma,NE,18.6853,12.9164,70.83,19,37,6.44,scattered clouds,2022-11-17 20:25:49
207,Hargeysa,SO,9.56,44.065,63.7,82,11,10.83,few clouds,2022-11-17 20:25:50
208,Panzhihua,CN,26.5851,101.7128,48.99,69,0,1.59,clear sky,2022-11-17 20:23:06
209,Victoria,HK,22.2855,114.1577,75.38,89,0,5.99,clear sky,2022-11-17 20:16:07
210,Marrakesh,MA,31.6315,-8.0083,68.07,34,0,3.44,clear sky,2022-11-17 20:25:50
211,Mogadishu,SO,2.0371,45.3438,79.41,82,0,12.26,clear sky,2022-11-17 20:25:50
212,Inhambane,MZ,-23.865,35.3833,76.08,69,8,11.21,clear sky,2022-11-17 20:25:51
213,College,US,64.8569,-147.8028,12.58,82,0,0.0,clear sky,2022-11-17 20:16:02
214,Maine-Soroa,NE,13.2114,12.0241,75.4,22,64,8.57,broken clouds,2022-11-17 20:25:51
215,Caconda,AO,-13.7333,15.0667,66.85,65,85,2.93,overcast clouds,2022-11-17 20:25:51
216,Urucara,BR,-2.5364,-57.76,99.63,24,100,4.0,overcast clouds,2022-11-17 20:24:45
217,Kununurra,AU,-15.7667,128.7333,78.78,89,40,0.0,scattered clouds,2022-11-17 20:25:52
218,Kalamazoo,US,42.2506,-85.55,30.51,80,100,17.27,light snow,2022-11-17 20:22:08
219,Taicheng,CN,38.731,113.228,41.02,54,100,3.4,overcast clouds,2022-11-17 20:25:52
220,Siniscola,IT,40.5719,9.6922,65.75,86,94,6.2,overcast clouds,2022-11-17 20:25:53
221,New Norfolk,AU,-42.7826,147.0587,47.71,79,17,1.83,few clouds,2022-11-17 20:25:53
222,Bay Roberts,CA,47.5999,-53.2648,50.5,89,100,17.0,overcast clouds,2022-11-17 20:25:53
223,Longyearbyen,SJ,78.2186,15.6401,22.84,74,75,6.91,broken clouds,2022-11-17 20:25:54
224,Paris,FR,48.8534,2.3488,52.3,86,75,10.36,broken clouds,2022-11-17 20:21:52
225,Buraydah,SA,26.326,43.975,72.05,50,100,7.76,overcast clouds,2022-11-17 20:17:30
226,Saint George,US,37.1041,-113.5841,51.44,31,0,3.44,clear sky,2022-11-17 20:25:26
227,Dikson,RU,73.5069,80.5464,7.43,95,100,13.38,light snow,2022-11-17 20:25:54
228,Kushiro,JP,42.975,144.3747,33.35,70,0,4.88,clear sky,2022-11-17 20:25:54
229,San Pedro De Uraba,CO,8.2752,-76.3764,81.52,83,100,4.65,overcast clouds,2022-11-17 20:25:55
230,Pevek,RU,69.7008,170.3133,-3.8,99,98,3.89,overcast clouds,2022-11-17 20:26:55
231,Vila Franca Do Campo,PT,37.7167,-25.4333,60.19,66,6,11.14,clear sky,2022-11-17 20:17:08
232,Porto Novo,BJ,6.4965,2.6036,82.22,79,41,6.17,scattered clouds,2022-11-17 20:18:15
233,Muromtsevo,RU,56.3724,75.2418,-4.23,98,6,2.1,clear sky,2022-11-17 20:26:55
234,Provideniya,RU,64.3833,-173.3,35.58,99,100,12.55,moderate rain,2022-11-17 20:26:56
235,Vinh,VN,18.6667,105.6667,74.89,93,79,2.08,broken clouds,2022-11-17 20:26:56
236,Kalmunai,LK,7.4167,81.8167,72.23,83,100,11.05,overcast clouds,2022-11-17 20:18:42
237,Port Hardy,CA,50.6996,-127.4199,50.18,53,0,10.36,clear sky,2022-11-17 20:26:57
238,Biu,NG,10.6129,12.1946,73.76,33,7,8.81,clear sky,2022-11-17 20:26:57
239,Shetpe,KZ,44.1667,52.1167,46.0,63,84,4.52,broken clouds,2022-11-17 20:26:57
240,Praia,CV,14.9215,-23.5087,79.34,61,20,11.5,few clouds,2022-11-17 20:26:57
241,Fez,MA,34.0372,-4.9998,64.65,88,75,5.75,light rain,2022-11-17 20:24:48
242,Saldanha,ZA,-33.0117,17.9442,60.1,71,100,19.51,overcast clouds,2022-11-17 20:18:31
243,Mingaora,PK,34.7758,72.3625,49.44,37,17,7.7,few clouds,2022-11-17 20:17:00
244,Monrovia,LR,6.3005,-10.7969,78.87,84,83,8.28,broken clouds,2022-11-17 20:26:58
245,Bac Lieu,VN,9.285,105.7244,78.57,89,100,10.29,overcast clouds,2022-11-17 20:26:58
246,Finschhafen,PG,-6.6024,147.8681,80.33,83,100,8.63,overcast clouds,2022-11-17 20:26:59
247,La Seyne-Sur-Mer,FR,43.0982,5.8847,63.88,62,79,4.0,broken clouds,2022-11-17 20:26:59
248,Khandyga,RU,62.6667,135.6,-29.97,95,93,2.53,overcast clouds,2022-11-17 20:26:59
249,Carutapera,BR,-1.195,-46.02,81.3,76,99,6.04,overcast clouds,2022-11-17 20:18:46
250,Bonthe,SL,7.5264,-12.505,79.72,80,100,6.76,overcast clouds,2022-11-17 20:27:00
251,Svay Rieng,KH,11.0879,105.7993,76.68,92,100,2.86,overcast clouds,2022-11-17 20:27:00
252,Saint-Augustin,CA,51.226,-58.6502,29.73,96,100,26.78,snow,2022-11-17 20:27:01
253,Pierre,US,44.3683,-100.351,21.85,65,100,28.77,overcast clouds,2022-11-17 20:27:01
254,Palana,RU,59.1167,159.9667,15.82,89,100,13.2,overcast clouds,2022-11-17 20:27:01
255,Moyale,KE,3.5167,39.0584,73.27,45,12,12.55,few clouds,2022-11-17 20:27:01
256,Ibra,OM,22.6906,58.5334,69.48,69,5,0.74,clear sky,2022-11-17 20:17:41
257,Westport,US,41.1415,-73.3579,47.28,45,20,14.97,few clouds,2022-11-17 20:18:25
258,Nushki,PK,29.5542,66.0215,54.95,24,22,3.11,few clouds,2022-11-17 20:27:02
259,Matagami,CA,49.7502,-77.6328,17.71,86,100,10.36,overcast clouds,2022-11-17 20:27:02
